date,num,num_cb,sum_mood,sum_mood_cb,mood_economy,mood_cb,mood_cb_without_mood_economy,indicator
2016-12-04,6,0,-0.9485650524438825,0.0,-0.15809417540731374,,,
2016-12-05,25,0,-3.921168467379175,0.0,-0.156846738695167,,,
2016-12-06,14,9,-1.2922765705734491,-0.6307742102071643,-0.09230546932667494,-0.07008602335635158,0.022219445970323354,0.5055548614925809
2016-12-07,27,0,-3.640202464230242,0.0,-0.13482231349000898,,,
2016-12-08,15,0,-3.0500174376065843,0.0,-0.20333449584043894,,,
2016-12-09,10,19,-0.36582839605398476,-3.7838049777783453,-0.03658283960539847,-0.1991476304093866,-0.1625647908039881,0.45935880229900294
2016-12-10,0,2,0.0,-0.08812311664223671,,-0.044061558321118355,,
2016-12-11,0,6,0.0,-1.223584458231926,,-0.20393074303865433,,
2016-12-12,29,12,-5.260763015336124,-2.313694539552671,-0.18140562121848705,-0.19280787829605592,-0.011402257077568867,0.49714943573060777
2016-12-13,18,0,-2.169971450290177,0.0,-0.12055396946056539,,,
2016-12-14,21,6,-2.5333480363624403,-1.0005058098759037,-0.12063562077916383,-0.1667509683126506,-0.04611534753348677,0.4884711631166283
2016-12-15,2,17,0.07092838734388351,-2.746687758131884,0.03546419367194176,-0.16156986812540494,-0.1970340617973467,0.4507414845506633
2016-12-16,0,1,0.0,0.5455686508212239,,0.5455686508212239,,
2016-12-17,0,0,0.0,0.0,,,,
2016-12-18,8,0,-1.239871078869328,0.0,-0.154983884858666,,,
2016-12-19,25,7,-4.828611532619107,-1.0750756765919505,-0.19314446130476426,-0.1535822395131358,0.039562221791628466,0.5098905554479071
2016-12-20,2,0,-0.7101619732566178,0.0,-0.3550809866283089,,,
2016-12-21,0,0,0.0,0.0,,,,
2016-12-22,26,0,-1.0674033431860153,0.0,-0.04105397473792367,,,
2016-12-23,41,2,-9.695507643351448,-0.4807144352962496,-0.23647579617930362,-0.2403572176481248,-0.0038814214688211723,0.4990296446327947
2016-12-24,2,0,0.40061075799167156,0.0,0.20030537899583578,,,
2016-12-25,0,0,0.0,0.0,,,,
2016-12-26,11,36,-1.150476538343355,-6.640462434530491,-0.10458877621303228,-0.1844572898480692,-0.07986851363503691,0.48003287159124075
2016-12-27,6,1,-0.7202277834148845,-0.3537683505564928,-0.12003796390248074,-0.3537683505564928,-0.23373038665401208,0.44156740333649697
2016-12-28,55,14,-7.8088616568857105,-2.074288530740887,-0.14197930285246746,-0.14816346648149192,-0.006184163629024464,0.49845395909274387
2016-12-29,3,13,-0.813426226915908,-0.18371043307706714,-0.271142075638636,-0.01413157177515901,0.257010503863477,0.5642526259658692
2016-12-30,29,0,-2.367901060191798,0.0,-0.0816517606962689,,,
2016-12-31,2,0,-0.28095199167728424,0.0,-0.14047599583864212,,,
2017-01-01,0,0,0.0,0.0,,,,
2017-01-02,0,0,0.0,0.0,,,,
2017-01-03,3,0,-0.6792271137237549,0.0,-0.2264090379079183,,,
2017-01-04,0,0,0.0,0.0,,,,
2017-01-05,2,0,0.4623709121515276,0.0,0.2311854560757638,,,
2017-01-06,1,0,-0.012925361515954137,0.0,-0.012925361515954137,,,
2017-01-07,0,0,0.0,0.0,,,,
2017-01-08,1,0,0.019124037193250842,0.0,0.019124037193250842,,,
2017-01-09,7,0,-1.7940334482846083,0.0,-0.2562904926120869,,,
2017-01-10,8,24,-1.2798756496049464,-3.3497783342172625,-0.1599844562006183,-0.1395740972590526,0.020410358941565704,0.5051025897353915
2017-01-11,7,9,-0.6235829171928344,-0.5832030940800905,-0.08908327388469063,-0.06480034378667672,0.02428293009801391,0.5060707325245035
2017-01-12,37,5,-5.158843140001409,0.4431681928690523,-0.13942819297301104,0.08863363857381046,0.2280618315468215,0.5570154578867054
2017-01-13,8,12,-1.305320732833934,-1.9629424244631082,-0.16316509160424175,-0.16357853537192568,-0.00041344376768392976,0.499896639058079
2017-01-14,9,3,-2.0709600746631622,-1.030880769714713,-0.2301066749625736,-0.3436269232382377,-0.11352024827566409,0.471619937931084
2017-01-15,96,0,-15.368310912279412,0.0,-0.16008657200291054,,,
2017-01-16,0,2,0.0,-0.8654680573381484,,-0.4327340286690742,,
2017-01-17,1,3,-0.0060548074543476105,-0.7178038759157062,-0.0060548074543476105,-0.23926795863856873,-0.23321315118422112,0.44169671220394474
2017-01-18,52,6,-9.560642152602668,-0.01577368238940835,-0.18385850293466668,-0.0026289470649013915,0.1812295558697653,0.5453073889674414
2017-01-19,16,39,-3.1851391277014045,-4.767733251210302,-0.19907119548133778,-0.1222495705438539,0.07682162493748389,0.519205406234371
2017-01-20,1,3,-0.035037098452448845,-0.33826669002883136,-0.035037098452448845,-0.11275556334294379,-0.07771846489049494,0.48057038377737626
2017-01-21,2,0,-0.38090408220887184,0.0,-0.19045204110443592,,,
2017-01-22,2,0,-0.5810056277550757,0.0,-0.29050281387753785,,,
